authorId,name,slug
10429,Hồ Chí Minh,ho-chi-minh
15820,Lê Quý Đôn,le-quy-don
26679,Nguyễn Lan Phương,nguyen-lan-phuong
19003,Bernard Cornwell,bernard-cornwell
10555,Quỳnh Cư,quynh-cu
10891,Đỗ Đức Hùng,do-duc-hung
13851,Nguyễn Hiến Lê,nguyen-hien-le
25244,Chương Thâu,chuong-thau
188443,Robert Twigger,robert-twigger
428133,Jared Diamond ,jared-diamond
4424,Fukuzawa Yukichi,fukuzawa-yukichi
10242,Huyền Trang,huyen-trang
11708,Tạ Huy Long,ta-huy-long
14644,Dương Trung Quốc,duong-trung-quoc
17710,Hiếu Minh,hieu-minh
79888,Yuval Noah Harari,yuval-noah-harari
12972,Walter Isaacson,walter-isaacson
13158,Henry Kissinger,henry-kissinger
25743,Trần Trọng Kim,tran-trong-kim
26724,Đào Trinh Nhất,dao-trinh-nhat
33492,Nguyễn Q. Thắng,nguyen-q-thang
143866,Jack Weatherford,jack-weatherford
149258,David Hume,david-hume
5716021,Tacy M. Byham,tacy-m-byham
5716023,Richard S. Wellins,richard-s-wellins
5725913,Christopher Leonard,christopher-leonard
7304927,Đồng Lạc,dong-lac
3916,Hữu Mai,huu-mai
443879,Paul Giran,paul-giran
431305,Paul Kennedy,paul-kennedy
31903,Trương Vĩnh Ký,truong-vinh-ky
7808943,Alexander Barton Woodside,alexander-barton-woodside
4908,Jared Diamond,jared-diamond
7884371,David S.Landes,david-s-landes
3910,Trần Bạch Đằng,tran-bach-dang-chu-bien
3943,Nguyễn Trương Quý,nguyen-truong-quy
10193,Carl Gustav Jung,carl-gustav-jung
32845,Niall Ferguson,niall-ferguson
25863,Ngô Gia Văn Phái,ngo-gia-van-phai
143614,Nguyễn Huy Toàn,nguyen-huy-toan
25347,Abraham Rothberg,abraham-rothberg
4545457,Nhiều tác giả,nhieu-tac-gia
19977,Robert Leckie,robert-leckie
4002661,Hoàng Hải Vân,hoang-hai-van
8176749,Tấn Tú,tan-tu
8182849,Phạm Thị Kiều Ly,pham-thi-kieu-ly
17769,Nguyễn Đình Đầu,nguyen-dinh-dau
7843725,Triệu Quốc Mạnh,trieu-quoc-manh
8192657,Michael Pye,michael-pye
142853,Dũng Phan,dung-phan
709597,nhieu tac gia,
301245,Tim Marshall,tim-marshall
8198512,Erica J.Peters,erica-j-peters
180863,Philip Parker,philip-parker
8206395,Nicholas Ostler,nicholas-ostler
8207112,L.m. Đỗ Quang Chính,l-m-do-quang-chinh
48951,Will Durant,will-durant
663931,Ariel Durant,ariel-durant
