productId,code,name,value
102440084,book_version,Phiên bản sách,Phiên bản thường
102440084,publisher_vn,Công ty phát hành,NXB Trẻ
102440084,publication_date,Ngày xuất bản,2021-06-01 00:00:00
102440084,dimensions,Kích thước,13 x 20.5 cm
102440084,book_cover,Loại bìa,Bìa mềm
102440084,number_of_page,Số trang,112
102440084,manufacturer,Nhà xuất bản,NXB Trẻ
105794407,publisher_vn,Công ty phát hành,Công ty TNHH Quốc Tế Mai Hà
105794407,publication_date,Ngày xuất bản,2021-06-05 10:56:50
105794407,book_cover,Loại bìa,Bìa mềm
105794407,number_of_page,Số trang,600
105794407,manufacturer,Nhà xuất bản,Nhà Xuất Bản Khoa Học Xã Hội
11157674,publisher_vn,Công ty phát hành,Nhà Sách Pháp Luật
11157674,dimensions,Kích thước,<p>20x28x3cm</p>
11157674,book_cover,Loại bìa,Bìa cứng
11157674,number_of_page,Số trang,400
135552437,book_version,Phiên bản sách,Phiên bản thường
135552437,publisher_vn,Công ty phát hành,NXB Trẻ
135552437,publication_date,Ngày xuất bản,2021-10-10 00:00:00
135552437,dimensions,Kích thước,15.5 x 23 cm
135552437,dich_gia,Dịch Giả,Hoàng Vinh Thăng
135552437,book_cover,Loại bìa,Bìa mềm
135552437,number_of_page,Số trang,446
135552437,manufacturer,Nhà xuất bản,NXB Trẻ
135552451,book_version,Phiên bản sách,Phiên bản thường
135552451,publisher_vn,Công ty phát hành,Huy Hoàng Bookstore
135552451,publication_date,Ngày xuất bản,2021-10-10 00:00:00
135552451,dimensions,Kích thước,13.5 x 20.5 cm
135552451,book_cover,Loại bìa,Bìa mềm
135552451,number_of_page,Số trang,420
135552451,manufacturer,Nhà xuất bản,Nhà Xuất Bản Thanh Niên
136941163,book_version,Phiên bản sách,Phiên bản thường
136941163,publisher_vn,Công ty phát hành,BIZBOOKS
136941163,publication_date,Ngày xuất bản,2021-11-11 00:00:00
136941163,dimensions,Kích thước,16 x 24 cm
136941163,book_cover,Loại bìa,Bìa mềm
136941163,number_of_page,Số trang,512
136941163,manufacturer,Nhà xuất bản,Nhà Xuất Bản Hồng Đức
1374361,publisher_vn,Công ty phát hành,Công Ty Cổ Phần Tri thức Văn Hóa Sách Việt Nam
1374361,publication_date,Ngày xuất bản,2017-01-01 00:00:00
1374361,dimensions,Kích thước,13 x 20.5 cm
1374361,book_cover,Loại bìa,Bìa mềm
1374361,number_of_page,Số trang,276
138934620,book_version,Phiên bản sách,Phiên bản thường
138934620,publisher_vn,Công ty phát hành,OMEGA PLUS+
138934620,publication_date,Ngày xuất bản,2021-11-11 00:00:00
138934620,dimensions,Kích thước,16 x 24 cm
138934620,dich_gia,Dịch Giả,Thảo Trúc
138934620,book_cover,Loại bìa,Bìa cứng
138934620,number_of_page,Số trang,724
138934620,manufacturer,Nhà xuất bản,Nhà Xuất Bản Thế Giới
140012510,publisher_vn,Công ty phát hành,VIETNAMBOOK
140012510,book_cover,Loại bìa,Bìa mềm
140012510,number_of_page,Số trang,204
140012510,manufacturer,Nhà xuất bản,Nhà Xuất Bản Quân Đội Nhân Dân
140120577,publisher_vn,Công ty phát hành,Alpha Books
140120577,dich_gia,Dịch Giả,Trần Tiễn Cao Đăng
140120577,book_cover,Loại bìa,Bìa mềm
140120577,number_of_page,Số trang,660
140120577,manufacturer,Nhà xuất bản,Nhà Xuất Bản Thế Giới
1419963,publisher_vn,Công ty phát hành,Omega Plus
1419963,publication_date,Ngày xuất bản,2018-01-01 00:00:00
1419963,dimensions,Kích thước,14 x 20.5 cm
1419963,dich_gia,Dịch Giả,Phạm Thu Giang
1419963,book_cover,Loại bìa,Bìa mềm
1419963,number_of_page,Số trang,528
1419963,manufacturer,Nhà xuất bản,Nhà Xuất Bản Thế Giới
14453314,publisher_vn,Công ty phát hành,Nhà Xuất Bản Kim Đồng
14453314,publication_date,Ngày xuất bản,2019-04-01 00:00:00
14453314,dimensions,Kích thước,30 x 24 cm
14453314,book_cover,Loại bìa,Bìa mềm
14453314,number_of_page,Số trang,100
14453314,seller_delivery_method,Phương thức giao hàng Seller Delivery,Nhà bán giao hàng cho khách hàng
146846342,book_version,Phiên bản sách,Phiên bản thường
146846342,publisher_vn,Công ty phát hành,Omega Plus
146846342,publication_date,Ngày xuất bản,2021-12-12 00:00:00
146846342,dimensions,Kích thước,20.5 x 27.5 cm
146846342,dich_gia,Dịch Giả,Minh An
146846342,book_cover,Loại bìa,Bìa cứng
146846342,number_of_page,Số trang,256
146846342,manufacturer,Nhà xuất bản,Nhà Xuất Bản Dân Trí
1527511,publisher_vn,Công ty phát hành,Alphabooks
1527511,publication_date,Ngày xuất bản,2018-02-01 00:00:00
1527511,dimensions,Kích thước,16 x 24 cm
1527511,dich_gia,Dịch Giả,"Thùy Dương, Nhật Huy"
1527511,book_cover,Loại bìa,Bìa cứng
1527511,number_of_page,Số trang,624
1527511,manufacturer,Nhà xuất bản,Nhà Xuất Bản Thế Giới
1533427,publisher_vn,Công ty phát hành,Omega Plus
1533427,publication_date,Ngày xuất bản,2018-01-01 00:00:00
1533427,dimensions,Kích thước,16 x 24 cm
1533427,dich_gia,Dịch Giả,"Phạm Thái Sơn,Võ Minh Tuấn"
1533427,book_cover,Loại bìa,Bìa cứng
1533427,number_of_page,Số trang,474
1533427,manufacturer,Nhà xuất bản,Nhà Xuất Bản Thế Giới
16309369,publisher_vn,Công ty phát hành,Nhà sách Minh Thắng
16309369,publication_date,Ngày xuất bản,2018-01-01 00:00:00
16309369,dimensions,Kích thước,16 x 24 cm
16309369,book_cover,Loại bìa,Bìa mềm
16309369,number_of_page,Số trang,700
1667493,publisher_vn,Công ty phát hành,Công Ty TNHH Thư Lâm
1667493,publication_date,Ngày xuất bản,2018-01-01 00:00:00
1667493,dimensions,Kích thước,14.5 x 20.5 cm
1667493,book_cover,Loại bìa,Bìa mềm
1667493,number_of_page,Số trang,141
1667493,manufacturer,Nhà xuất bản,Nhà Xuất Bản Tổng hợp TP.HCM
167935897,publisher_vn,Công ty phát hành,PHANBOOK
167935897,publication_date,Ngày xuất bản,2021-12-30 09:25:45
167935897,book_cover,Loại bìa,Bìa mềm
167935897,number_of_page,Số trang,350
167935897,manufacturer,Nhà xuất bản,Nhà Xuất Bản Lao Động
174449880,book_version,Phiên bản sách,Phiên bản thường
174449880,publisher_vn,Công ty phát hành,Viện IRED
174449880,publication_date,Ngày xuất bản,2022-04-01 00:00:00
174449880,dimensions,Kích thước,12 x 20 cm
174449880,dich_gia,Dịch Giả,Hoàng Phú Phương
174449880,book_cover,Loại bìa,Bìa cứng
174449880,number_of_page,Số trang,368
174449880,manufacturer,Nhà xuất bản,Nhà Xuất Bản Tri Thức
174449882,publisher_vn,Công ty phát hành,Viện Quản lý PACE
174449882,publication_date,Ngày xuất bản,2022-04-01 00:00:00
174449882,dimensions,Kích thước,15 x 23 cm
174449882,dich_gia,Dịch Giả,Mai Chí Trung
174449882,book_cover,Loại bìa,Bìa mềm
174449882,number_of_page,Số trang,380
174449882,manufacturer,Nhà xuất bản,Nhà Xuất Bản Tổng hợp TP.HCM
175798776,book_version,Phiên bản sách,Phiên bản thường
175798776,publisher_vn,Công ty phát hành,Alphabooks
175798776,publication_date,Ngày xuất bản,2022-04-01 00:00:00
175798776,dimensions,Kích thước,16 x 24 cm
175798776,dich_gia,Dịch Giả,Phạm Hà
175798776,book_cover,Loại bìa,Bìa cứng
175798776,number_of_page,Số trang,908
175798776,manufacturer,Nhà xuất bản,Nhà Xuất Bản Thế Giới
177211802,publisher_vn,Công ty phát hành,Công Ty Cổ Phần Tri thức Văn Hóa Sách Việt Nam
177211802,book_cover,Loại bìa,Bìa gập
177211802,number_of_page,Số trang,268
177211802,manufacturer,Nhà xuất bản,Nhà Xuất Bản Hà Nội
177818265,publisher_vn,Công ty phát hành, NXB Đại Học Sư Phạm
177818265,manufacturer,Nhà xuất bản,Nhà Xuất Bản Đại Học Sư Phạm
183539215,book_version,Phiên bản sách,Phiên bản thường
183539215,publisher_vn,Công ty phát hành,Tri Thức Trẻ Books
183539215,publication_date,Ngày xuất bản,2022-06-06 00:00:00
183539215,dimensions,Kích thước,14.5 x 20.5 cm
183539215,book_cover,Loại bìa,Bìa mềm
183539215,number_of_page,Số trang,268
183539215,manufacturer,Nhà xuất bản,Nhà Xuất Bản Hội Nhà Văn
184419723,book_version,Phiên bản sách,Phiên bản thường
184419723,publisher_vn,Công ty phát hành,Alphabooks
184419723,publication_date,Ngày xuất bản,2022-06-01 00:00:00
184419723,dimensions,Kích thước,16.0 x 24.0 cm
184419723,dich_gia,Dịch Giả,Nguyễn Thủy Chung
184419723,book_cover,Loại bìa,Bìa mềm
184419723,number_of_page,Số trang,600
184419723,manufacturer,Nhà xuất bản,Nhà Xuất Bản Tri Thức
185653968,publisher_vn,Công ty phát hành,Alpha Books
185653968,seller_delivery_method,Phương thức giao hàng Seller Delivery,Nhà bán giao hàng cho khách hàng
185653968,manufacturer,Nhà xuất bản,Nhà Xuất Bản Tri Thức
187183513,publisher_vn,Công ty phát hành,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật
187183513,book_cover,Loại bìa,Bìa mềm
187183513,number_of_page,Số trang,312
187183513,manufacturer,Nhà xuất bản,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật
191782133,publisher_vn,Công ty phát hành,NXB Trẻ
191782133,publication_date,Ngày xuất bản,2022-07-07 00:00:00
191782133,dimensions,Kích thước,16x24cm
191782133,number_of_page,Số trang,588
191782133,manufacturer,Nhà xuất bản,NXB Trẻ
